,bg_mean,subject,session,scan,bg_size,bg_std,dvars,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,ghost_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality,snr
1230,58.4370623571,sub-10557,session_1,bht,100290,89.7310887946,1.10715119304,0.563293132854,61.1838346852,810.754381384,38974,210.336952643,2.17644705225,2.17960666667,2.36806,1.99744,0.0569451962965,0.055943954736,44.6348686218,0.138663622964,0.0,,0.0,0.0115220786076,9.03537884445
1231,59.9493429193,sub-60017,session_1,bart,100442,89.17663715,1.05018781723,0.56990707598,59.9609410119,812.288775504,38822,180.321532552,1.99557692984,1.94996,2.18616666667,1.8642225,0.00789532410586,0.0556909181178,48.1993637085,0.0686800685942,0.0,,0.0,0.0120003145693,9.10876213169
1232,53.0559076668,sub-10460,session_1,bart,97170,81.9397811765,1.01241039642,0.576235065394,63.9239323273,755.397460192,42094,196.229351486,2.35890715513,2.37417333333,2.50001,2.2114575,0.0267348431295,0.041597828269,48.580581665,0.107480957436,0.0,,0.0,0.00830703438202,9.21893431183
1233,58.9806751871,sub-50036,session_1,bart,103760,88.2755158141,1.13490724521,0.550147878772,62.5575808686,816.572119981,35504,195.731406989,2.20870715855,2.23386017753,2.42716666667,1.9872775,0.00622318407755,0.0270647406578,66.2989654541,0.134658696886,0.0,,0.0,0.00420274775281,9.25026733008
1234,42.2630240144,sub-60005,session_1,bart,103140,66.6329920045,1.14817150434,0.53556136716,95.8374728618,755.747816766,36124,159.803782128,1.84878993188,1.84978333333,2.01831333333,1.692595,0.00508148271699,0.0264109354466,43.2221984863,0.113156550818,0.0,,0.0,0.0160235632584,11.3419462946
1235,49.8272774501,sub-10987,session_1,stopsignal,101851,73.547415221,1.05785891053,0.545699605567,95.5555311626,847.134897551,37413,190.998690834,2.09109992858,2.08744,2.24387666667,1.9521425,0.0257739649613,0.026334123686,68.2381362915,0.0206448714845,0.0,,0.0,0.00487932657609,11.5182144064
1236,50.9444760477,sub-70081,session_1,scap,104023,82.8272062665,1.12054913651,0.537315754225,72.2453574626,805.427601366,35241,185.50471918,2.11769651636,2.06743316903,2.32214666667,1.978205,0.0162378631679,0.0257016010582,61.632194519,0.0658903026206,0.0,,0.0,0.00661941773196,9.72419133364
1237,57.6769082471,sub-10998,session_1,bht,103024,84.9984387422,1.08819158859,0.56032400867,60.2703840117,780.424558612,36240,163.916527351,1.88518988501,1.88972666667,1.99839,1.77413,0.0667737562133,0.0298478156328,39.2516555786,0.166786426517,0.0,,0.0,0.0186741379747,9.18163404128
1238,59.4742822785,sub-10525,session_1,rest,102751,89.5647903624,1.21516302446,0.555439099556,61.1976647896,818.924469054,36513,191.690851458,2.24757217908,2.21162333333,2.4366,2.10691,0.0226122716806,0.0404251553118,64.318939209,0.0667396308189,0.0,,0.0,0.00587266460526,9.14337504437
1239,59.7031564759,sub-10525,session_1,bht,102787,89.4831818865,1.12871203545,0.556872071776,59.0776521341,804.491835892,36477,190.836660586,2.2437895398,2.19639666667,2.44592666667,2.102775,0.0976908693842,0.042331725359,42.3144950867,0.163012559481,0.0,,0.0,0.0120133351899,8.99042500425
1240,44.4081426211,sub-10304,session_1,bart,98113,67.0278451099,1.15420691393,0.558242793689,104.654759316,799.368030681,41151,193.856845444,2.3176615472,2.30338333333,2.48232666667,2.177335,0.029540836402,0.0309379138052,61.8512763977,0.0534816223124,0.0,,0.0,0.00586058280899,11.9259097375
1241,43.7783847816,sub-70004,session_1,taskswitch,105656,71.2403681848,1.05887090281,0.517287284397,100.020644896,817.000270732,33608,178.394966642,2.06443368452,2.03852,2.21861333333,1.9453925,0.0138625654647,0.0289088524878,68.5220031738,0.0689345218017,0.0,,0.0,0.004635254375,11.4682207792
1242,52.4869229932,sub-10570,session_1,pamret,97702,80.6277084946,1.13982268749,0.571901460899,73.8002414858,804.419619011,41562,189.679390013,2.05402764085,2.03001,2.22481666667,1.918785,0.0142482768001,0.0252740867436,65.2487640381,0.0765756838348,0.0,,0.0,0.00450708570896,9.97696243674
1243,58.125114745,sub-11098,session_1,bht,97992,82.9625130933,1.07661313431,0.588210212568,55.5254222001,736.739075509,41272,164.242949424,2.05535413885,2.08535333333,2.19238333333,1.89917,0.0527693396136,0.0243708118796,53.0187263489,0.10234641278,0.0,,0.0,0.00878307962025,8.88038522508
1244,56.0682237894,sub-10570,session_1,stopsignal,97585,83.8179791793,0.849949585232,0.576418778365,71.8136318134,833.535997629,41679,188.396716093,2.00705521957,1.98702,2.19832684137,1.85090261032,0.103486858291,0.0259448289871,27.7437343597,0.251299506734,6.0,,3.24324324324,0.0245311965217,9.94459668189
1245,42.2870836434,sub-70077,session_1,rest,107582,67.1304132493,1.04233471817,0.502791524562,112.833912093,820.442503976,31682,192.678673714,2.31427261737,2.29709,2.51027333333,2.1495375,0.0285810946186,0.0265756566077,62.0595474243,0.0626895087184,0.0,,0.0,0.00576036243421,12.2216215313
1246,57.8597013534,sub-11098,session_1,rest,97992,83.0798632664,1.05778948737,0.586878542089,56.6581488356,743.81655729,41272,165.771486379,2.06526350291,2.07744333333,2.19745333333,1.92965,0.0210369094119,0.0241060871631,72.5185699463,0.0301284581178,0.0,,0.0,0.00413740763158,8.95303059064
1247,61.0202636299,sub-60055,session_1,bht,99080,92.4539504961,1.14144556755,0.582496164727,48.9945561357,755.623487928,40184,173.930678185,1.99802715832,1.97339666667,2.20749017544,1.83101,0.0353887113966,0.0363653153181,58.7515869141,0.134991818992,0.0,,0.0,0.00582480126582,8.17297134274
1248,60.3008002174,sub-50071,session_1,bht,99965,84.8304445254,1.08634617157,0.579959091914,55.9343936459,759.387332492,39299,170.970144309,1.97518278021,1.93181,2.14735333333,1.8576075,0.0909275576761,0.0531194098294,45.8512306213,0.259494454338,0.0,,0.0,0.00997407708861,8.951825453
